id,province,municipality,name,lat,lng,type,openAllYear,paid,free,warning,codes,rawTags
b82fdf3f2f91ef06,VALENCIA,Valencia-El Saler [Albufera],Camper Park Albufera,39.38694,-0.33194,PR,1,1,0,0,PN|AL|AG|AN|CE|JU|RT|SM|WI,(PR)@€/Pn/Al/Ag/An/Ce/Ju/Rt/Sm/Wi
b5ede45d50c9c2de,VALENCIA,Valencia-El Saler [Camp El Saler],Área en Camping Valencia-El Saler,39.38778,-0.33194,CP,1,1,0,0,PN|AL|AG|AN|CE|JU|RT|GA|VG|WI,(CP)@€/Pn/Al/Ag/An/Ce/Ju/Rt/Ga/Vg/Wi
5641679008908fe3,VALENCIA,Valencia-El Saler [La Marina],Camping Car La Marina,39.38667,-0.33222,PR,1,1,0,0,PN|AL|AG|AN|RT|GA|VG,(PR)@€/Pn/Al/Ag/An/Rt/Ga/Vg
3daabd4f18754385,VALENCIA,Xeraco,Área Xeraco Campers,39.04583,-0.19917,PR,1,1,0,0,PN|AL|AG|AN|CE|RT|SM|VG|WI,(PR)@€/Pn/Al/Ag/An/Ce/Rt/Sm/Vg/Wi
9dcec3b0ae83a389,VALENCIA,Yátova,Parking del Paraje Natural de Tabarla,39.36167,-0.96611,PK,1,0,1,0,PN|PI|JU,(PK)@#/Pn/Pi/Ju
764917ab233d7183,VALLADOLID,Alaejos,Área de Alaejos,41.30306,-5.21861,PU,1,0,1,0,PN|AL|AG|AN|CE|PI|JU|RT|SM,(PU)@#/Pn/Al/Ag/An/Ce/Pi/Ju/Rt/Sm
aa179da0e8ce7cb1,VALLADOLID,Castronuño,Área de Castronuño,41.38861,-5.27083,PU,1,1,0,0,PN|AL|AG|AN|CE|PI|JU|RT|SM,(PU)@€/Pn/Al/Ag/An/Ce/Pi/Ju/Rt/Sm
2ce1e0b35c54cfe1,VALLADOLID,Cubillas de Santa Marta,Área del Camping Cubillas,41.805,-4.58722,CP,0,1,0,0,AL|AG|AN|CE|JU|RT|SM|GA|VG|WI,(CP)€/Al/Ag/An/Ce/Ju/Rt/Sm/Ga/Vg/Wi
deefa10d61795f90,VALLADOLID,Muriel de Zapardiel,Área de Muriel de Zapardiel,41.12306,-4.84028,PU,1,0,1,0,PN|AL|AG|AN|RT,(PU)@#/Pn/Al/Ag/An/Rt
c5666e741cea5c5b,VALLADOLID,Olmedo,Área del Parque del Mudéjar,41.29167,-4.68194,PU,1,0,1,0,PN|AL|AG|AN|RT|SM|GA,(PU)@#/Pn/Al/Ag/An/Rt/Sm/Ga
4d46582fe77d4622,VALLADOLID,Pedrosa del Rey,Area de Los Nogales,41.51778,-5.21417,RU,1,0,1,0,PN|AL|AG|AN|JU|RT|SM|GA|VG|WI,(RU)@#/Pn/Al/Ag/An/Ju/Rt/Sm/Ga/Vg/Wi
ac8cf34a285c28a4,VALLADOLID,Renedo de Esgueva,Área de Renedo de Esgueva,41.64806,-4.65333,PU,1,0,1,0,PN|AL|AG|AN|PI|JU|RT,(PU)@#/Pn/Al/Ag/An/Pi/Ju/Rt
3b7305dceade0b39,VALLADOLID,San Vicente del Palacio,Área de Valcarce,41.22194,-4.8425,RU,1,1,0,0,PN|AL|AG|AN|JU|RT|SM|GA,(RU)@€/Pn/Al/Ag/An/Ju/Rt/Sm/Ga
d7c7063fb580fb43,VALLADOLID,Simancas,Área de Simancas,41.5875,-4.82278,PU,1,0,1,0,PN|AL|AG|AN|RT|SM,(PU)@#/Pn/Al/Ag/An/Rt/Sm
7b1ea416541a531a,VALLADOLID,Tordesillas,Area de El Astral,41.49528,-5.00528,CP,1,1,0,0,PN|AL|AG|AN|CE|PI|JU|RT|SM|GA|VG|WI,(CP)@€/Pn/Al/Ag/An/Ce/Pi/Ju/Rt/Sm/Ga/Vg/Wi
5e4fbbb19b40118b,VALLADOLID,Valladolid,Área de Valladolid,41.65583,-4.73722,PU,1,1,0,0,PN|AL|AG|AN|RT|SM|VG,(PU)@€/Pn/Al/Ag/An/Rt/Sm/Vg
78f7e15f19ac3a07,ZAMORA,Bretocino,Área de Bretocino,41.88667,-5.755,PR,0,1,0,0,AL|AG|AN|CE|PI|JU|RT|SM|VG,(PR)€/Al/Ag/An/Ce/Pi/Ju/Rt/Sm/Vg
3e1195c7c8df2f7f,ZAMORA,Figueruela,Area de la Sierra de la Culebra,41.86556,-6.41944,CP,1,1,0,0,PN|AL|AG|AN|CE|JU|RT|VG,(CP)@€/Pn/Al/Ag/An/Ce/Ju/Rt/Vg
20519c5da1f4ff4d,ZAMORA,Puebla de Sanabria,Parking de Puebla de Sanabria,42.0525,-6.63083,PK,1,0,1,0,PN|RT|SM,(PK)@#/Pn/Rt/Sm
a0c6c58efa5f4581,ZAMORA,Rabanales,Área de los Cuatro Castros,41.73917,-6.27778,PU,1,0,1,0,PN|AL|AG|AN|PI|JU|RT|SM,(PU)@#/Pn/Al/Ag/An/Pi/Ju/Rt/Sm
8f3914504e208762,ZAMORA,Trefacio,Área de Playa Fluvial Corneira,42.10194,-6.64389,PU,1,0,1,0,PN|AL|AG|AN|JU|RT,(PU)@#/Pn/Al/Ag/An/Ju/Rt
c21071ceb002a09f,ZAMORA,Venialbo,Área de El Prao,41.39111,-5.53889,PU,1,0,1,0,PN|AL|AG|AN|CE|PI|JU|RT|SM,(PU)@#/Pn/Al/Ag/An/Ce/Pi/Ju/Rt/Sm
3b2f0bc982a298de,ZAMORA,Villalpando,Area de ALSA - Villalpando,41.86056,-5.41806,PK,1,0,1,0,PN|RT|SM|GA|VG,(PK)@#/Pn/Rt/Sm/Ga/Vg
241def10e5889ea6,ZAMORA,Zamora [Entrepuentes],Área de Entrepuentes,41.49806,-5.74333,PU,1,0,1,0,PN|AL|AG|AN|JU|GA,(PU)@#/Pn/Al/Ag/An/Ju/Ga
8376a7106ddfed2e,ZAMORA,Zamora [Fertol],Área de Fertol - San Carlos,41.52722,-5.70056,RU,1,1,0,0,PN|AL|AG|AN|CE|RT|SM|GA|VG,(RU)@€/Pn/Al/Ag/An/Ce/Rt/Sm/Ga/Vg
a4a87110e8d0b285,ZAMORA,Zamora [Valorio],Área de Valorio,41.50361,-5.75611,PU,1,0,1,0,PN|AL|AG|AN|PI|JU|RT|SM,(PU)@#/Pn/Al/Ag/An/Pi/Ju/Rt/Sm
f13f632fc61dfc76,ZARAGOZA,Alfamen,Área de Alfamén,41.43611,-1.23861,PU,1,0,1,0,PN|AL|AG|AN|PI|JU|RT|SM|GA,(PU)@#/Pn/Al/Ag/An/Pi/Ju/Rt/Sm/Ga
acbea869cc7e86b9,ZARAGOZA,Belchite,Parking para Autocaravanas de Belchite,41.30639,-0.74972,PK,1,0,1,0,PN|AL|CE|RT|SM|GA,(PK)@#/Pn/Al/Ce/Rt/Sm/Ga
701652b459fac802,ZARAGOZA,Calatayud,Área de Calatayud,41.35056,-1.64833,PU,0,0,1,0,AL|AG|AN|JU|RT|SM|GA,(PU)#/Al/Ag/An/Ju/Rt/Sm/Ga
86b2aec5e1d274f8,ZARAGOZA,Cariñena,Área de Cariñena,41.33806,-1.23,PU,1,0,1,0,PN|AL|AG|AN|RT|SM|GA,(PU)@#/Pn/Al/Ag/An/Rt/Sm/Ga
f1274a7ae2583ebf,ZARAGOZA,Caspe,Área de Caspe,41.22861,-0.03639,PU,1,0,1,0,PN|AL|AG|AN|PI|JU,(PU)@#/Pn/Al/Ag/An/Pi/Ju
d3178807312f7bb6,ZARAGOZA,Escatrón,Área de Escatrón,41.28528,-0.32639,PU,1,0,1,0,PN|AL|AG|AN|PI|JU|RT|SM|GA,(PU)@#/Pn/Al/Ag/An/Pi/Ju/Rt/Sm/Ga
0fff082c599824ed,ZARAGOZA,Grisel,Área de Grisel,41.87028,-1.72583,PU,1,0,1,0,PN|AL|AG|PI|JU|RT,(PU)@#/Pn/Al/Ag/Pi/Ju/Rt
8f83ac55256007b6,ZARAGOZA,La Almunia de Doña Godina,Área de La Almunia de Doña Godina,41.47222,-1.3775,PU,1,0,1,0,PN|AL|AG|AN|RT|SM|GA,(PU)@#/Pn/Al/Ag/An/Rt/Sm/Ga
96e2a6f49605e130,ZARAGOZA,Las Pedrosas,Área de Las Pedrosas,42.03778,-0.87417,PU,1,0,1,0,PN|AL|AG|AN|RT|WI,(PU)@#/Pn/Al/Ag/An/Rt/Wi
ab97e67740a04a08,ZARAGOZA,Los Fayos,Área de Los Fayos,41.8825,-1.78056,PU,1,1,0,0,PN|AL|AG|AN|CE|RT|SM,(PU)@€/Pn/Al/Ag/An/Ce/Rt/Sm
17b9ff6c0d6d92e9,ZARAGOZA,Peñaflor,Área de Peñaflor,41.72778,-0.79194,PR,1,1,0,0,PN|AL|AG|AN|PI|JU|GA,(PR)@€/Pn/Al/Ag/An/Pi/Ju/Ga
d714e1275df99ff4,ZARAGOZA,Purujosa,Área de Purujosa,41.68167,-1.76889,PU,1,0,1,0,PN|AL|AG|AN|PI|JU|RT|WI,(PU)@#/Pn/Al/Ag/An/Pi/Ju/Rt/Wi
04ce348452d1f1ce,ZARAGOZA,Sos del Rey Católico,Área de Sos del Rey Católico,42.49111,-1.21389,PU,1,1,0,0,PN|AL|AG|AN|JU|RT|SM|GA,(PU)@€/Pn/Al/Ag/An/Ju/Rt/Sm/Ga
86a812cae442961f,ZARAGOZA,Uncastillo,Área de Uncastillo,42.36,-1.12833,PU,1,0,1,0,PN|AL|AG|AN|JU|RT|SM,(PU)@#/Pn/Al/Ag/An/Ju/Rt/Sm
76bdeaa84ccc2dbf,ZARAGOZA,Zaragoza,Área de Zaragoza,41.68333,-0.89028,PU,1,0,1,0,PN|AL|AG|AN|RT|SM|GA,(PU)@#/Pn/Al/Ag/An/Rt/Sm/Ga
73605c2a4ae4a11c,ZARAGOZA,Zaragoza [Aqua-Box],Área de Aqua-Box (La Carpa),41.62611,-0.91028,PR,1,1,0,0,PN|AL|AG|AN|RT|GA,(PR)@€/Pn/Al/Ag/An/Rt/Ga
4ae59812ceaa4332,ZARAGOZA,Zaragoza [BonÁrea],Área de Servicios BonÁrea,41.6325,-0.98417,RU,1,0,1,0,PN|AL|AG|AN|RT|SM|GA,(RU)@#/Pn/Al/Ag/An/Rt/Sm/Ga
19904f52c2063bb6,ZARAGOZA,Zaragoza [El Cisne],Área de El Cisne,41.62556,-1.00917,RU,1,1,0,0,PN|AL|AG|AN|PI|JU|RT|SM|GA|VG,(RU)@€/Pn/Al/Ag/An/Pi/Ju/Rt/Sm/Ga/Vg
2f97dcc7acfb6cf3,A CORUÑA,A Capela,Parking Fraga do Eume,43.42972,-8.05944,PK,1,1,0,0,PN|AL|RT|WI,(PK)@€/Pn/Al/Rt/Wi
c94805f295905494,A CORUÑA,A Coruña,Área de O Portiño,43.37167,-8.44472,PU,1,0,1,0,PN|AL|AG|AN|RT|SM|GA,(PU)@#/Pn/Al/Ag/An/Rt/Sm/Ga
97598abb68560acd,A CORUÑA,A Coruña [Marina],Área de Marina-Coruña,43.36972,-8.38778,PR,1,1,0,0,PN|AL|AG|AN|CE|RT|VG|WI,(PR)@€/Pn/Al/Ag/An/Ce/Rt/Vg/Wi
3e9e69670da798f7,A CORUÑA,A Coruña [Yakart],Area de Yakart-A Coruña,43.33222,-8.42472,PR,1,1,0,0,PN|AL|AG|AN|CE|RT|SM|GA|VG,(PR)@€/Pn/Al/Ag/An/Ce/Rt/Sm/Ga/Vg
cb01cb6d851d58b4,A CORUÑA,A Laracha,Área de E. S. O Corgo,43.23056,-8.46778,RU,1,0,1,0,PN|AL|AG|AN|GA,(RU)@#/Pn/Al/Ag/An/Ga
544e88996793ca91,A CORUÑA,A Laracha,Área de O Regado,43.24972,-8.61694,PU,1,0,1,0,PN|AL|AG|AN|PI|GA,(PU)@#/Pn/Al/Ag/An/Pi/Ga
92fa765c1cbabee4,A CORUÑA,A Pobra de Caramiñal,Apartadiño Camper Park,42.59,-8.93556,PR,1,1,0,0,PN|AL|AG|AN|SM,(PR)@€/Pn/Al/Ag/An/Sm
be8ace45a84805cb,A CORUÑA,Abegondo,Área de Abegondo,43.18306,-8.30667,PU,1,0,1,0,PN|AL|AG|AN|PI|JU,(PU)@#/Pn/Al/Ag/An/Pi/Ju
9bb536cd9d73abed,A CORUÑA,As Pontes,Área de As Pontes,43.45111,-7.85472,PU,1,0,1,0,PN|AL|AG|AN|JU|RT|SM,(PU)@#/Pn/Al/Ag/An/Ju/Rt/Sm
651c4c0e1b5697f1,A CORUÑA,As Somozas,Área de O Carballo,43.5375,-7.93861,PU,1,0,1,0,PN|AL|AG|AN|PI|JU|RT|SM|GA,(PU)@#/Pn/Al/Ag/An/Pi/Ju/Rt/Sm/Ga
c6343a39824990d6,A CORUÑA,Berdeogas [Repsol],Área de Galuresa - Berdeogas,43.03194,-9.11278,RU,1,1,0,0,PN|AL|AG|AN|GA,(RU)@€/Pn/Al/Ag/An/Ga
2fc4cdf9b2c2e477,A CORUÑA,Bergondo,Parking de Bergondo,43.32444,-8.20944,PK,1,0,1,0,PN|PI|JU|RT,(PK)@#/Pn/Pi/Ju/Rt
036d01c448681fda,A CORUÑA,Bertamirans,Área de Bertamirans,42.86,-8.64833,PU,1,0,1,0,PN|AL|AG|AN|JU|RT|SM,(PU)@#/Pn/Al/Ag/An/Ju/Rt/Sm
793d83743151e64c,A CORUÑA,Betanzos,Área de Betanzos,43.28389,-8.21389,PU,1,0,1,0,PN|AL|AG|AN|JU|RT|SM,(PU)@#/Pn/Al/Ag/An/Ju/Rt/Sm
e28b897cc270f809,A CORUÑA,Boiro [Playa Mañons],Área de Playa Mañóns,42.63306,-8.85306,PU,1,0,1,0,PN|AL|AG|AN|PI,(PU)@#/Pn/Al/Ag/An/Pi
f395eeebee6556fd,A CORUÑA,Boiro [Playa Xardín],Área de Playa Xardín,42.64167,-8.89694,PU,1,1,0,0,PN|AL|AG|AN|PI|JU|RT|SM,(PU)@€/Pn/Al/Ag/An/Pi/Ju/Rt/Sm
0cb56edcd32f09c7,A CORUÑA,Brandoñas,Área de Santa María de Brandoñas,43.00333,-8.96333,CP,1,1,0,0,PN|AL|AG|AN|CE|PI|JU|RT|VG|WI,(CP)@€/Pn/Al/Ag/An/Ce/Pi/Ju/Rt/Vg/Wi
06cad31546281f0f,A CORUÑA,Caion,Área de Xermaña,43.31694,-8.59417,PU,1,0,1,0,PN|AL|AG|AN|RT|SM,(PU)@#/Pn/Al/Ag/An/Rt/Sm
3bb7107cc5603c2f,A CORUÑA,Camariñas,Parking del Puerto Deportivo,43.12667,-9.18306,PK,1,0,1,0,PN|RT|SM,(PK)@#/Pn/Rt/Sm
